Rank,Username,Player,Position,Score,Earnings,Tournament
"T223","rgsawyer(1)","Nicolai Hojgaard","T60","+6","-$55,556","Masters Tournament"
"T223","ScreechingPenguin(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","PottsLozier(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","evanharris11(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","SRUSSO11(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","mdlyons91(1)","Akshay Bhatia","T60","+6","-$55,556","Masters Tournament"
"T223","hammers_2(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","jdb3(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","MJWinter(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","syndicuttx(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","Party-like-a-Cocksta(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","btfd(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","fishbeinb(2)","Robert MacIntyre","T64","+7","-$55,556","Masters Tournament"
"T223","fishbeinb(3)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","cristalblanco(5)","Vijay Singh","T77","+10","-$55,556","Masters Tournament"
"T223","JoBuNeedsARefill1(2)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","JoBuNeedsARefill1(3)","Akshay Bhatia","T60","+6","-$55,556","Masters Tournament"
"T223","vinnyp15(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","evensteven(1)","Bryson DeChambeau","T60","+6","-$55,556","Masters Tournament"
"T223","Seanpins(3)","Robert MacIntyre","T64","+7","-$55,556","Masters Tournament"
"T1","fishbeinb(5)","Rory McIlroy","1","-12","$5,000,000","Masters Tournament"
"T1","thehun73(1)","Rory McIlroy","1","-12","$5,000,000","Masters Tournament"
"T1","briancjo(1)","Rory McIlroy","1","-12","$5,000,000","Masters Tournament"
"T1","krutches(1)","Rory McIlroy","1","-12","$5,000,000","Masters Tournament"
"T6","adblanke(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","C-Alt24(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","nelsonmonteith(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","kapantal(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","twoladsandanape(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","driveroffthedeck(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","cookiemonsterz(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","princetonians(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","presswhenyourpissed(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","jmac903(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","tsmiller3(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","jrdzik(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","twssquad(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
"T6","westover(1)","Scottie Scheffler","2","-11","$2,700,000","Masters Tournament"
